Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-06-01,0,East landscaping,0.0,0.0,0.0,80.5,42.8,29.1
2026-06-01,1,West landscaping,0.0,0.0,0.0,80.5,42.8,29.1
2026-06-01,2,Farm: greenhouse,35.0,14.0,0.0,80.5,42.8,29.1
2026-06-01,3,Farm: outdoor,15.0,3.8,0.0,80.5,42.8,29.1
2026-06-02,0,East landscaping,0.0,0.0,0.0,82.3,46.7,28.1
2026-06-02,1,West landscaping,60.0,12.0,0.0,82.3,46.7,28.1
2026-06-02,2,Farm: greenhouse,35.0,14.0,0.0,82.3,46.7,28.1
2026-06-02,3,Farm: outdoor,15.0,3.8,0.0,82.3,46.7,28.1
2026-06-03,0,East landscaping,0.0,0.0,0.0,86.0,47.4,26.5
2026-06-03,1,West landscaping,0.0,0.0,0.0,86.0,47.4,26.5
2026-06-03,2,Farm: greenhouse,60.0,24.0,0.0,86.0,47.4,26.5
2026-06-03,3,Farm: outdoor,20.0,5.0,0.0,86.0,47.4,26.5
2026-06-04,0,East landscaping,0.0,0.0,0.0,85.5,54.1,19.4
2026-06-04,1,West landscaping,60.0,12.0,0.0,85.5,54.1,19.4
2026-06-04,2,Farm: greenhouse,60.0,24.0,0.0,85.5,54.1,19.4
2026-06-04,3,Farm: outdoor,20.0,5.0,0.0,85.5,54.1,19.4
2026-06-05,0,East landscaping,0.0,0.0,0.0,86.1,56.0,21.0
2026-06-05,1,West landscaping,0.0,0.0,0.0,86.1,56.0,21.0
2026-06-05,2,Farm: greenhouse,60.0,24.0,0.0,86.1,56.0,21.0
2026-06-05,3,Farm: outdoor,20.0,5.0,0.0,86.1,56.0,21.0
2026-06-06,0,East landscaping,0.0,0.0,0.0,81.3,54.5,25.4
2026-06-06,1,West landscaping,60.0,12.0,0.0,81.3,54.5,25.4
2026-06-06,2,Farm: greenhouse,60.0,24.0,0.0,81.3,54.5,25.4
2026-06-06,3,Farm: outdoor,20.0,5.0,0.0,81.3,54.5,25.4
2026-06-07,0,East landscaping,0.0,0.0,0.0,77.7,49.7,28.8
2026-06-07,1,West landscaping,0.0,0.0,0.0,77.7,49.7,28.8
2026-06-07,2,Farm: greenhouse,60.0,24.0,0.0,77.7,49.7,28.8
2026-06-07,3,Farm: outdoor,20.0,5.0,0.0,77.7,49.7,28.8
