Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-08-24,0,East landscaping,0.0,0.0,0.08,82.9,54.7,60.5
2026-08-24,1,West landscaping,0.0,0.0,0.08,82.9,54.7,60.5
2026-08-24,2,Farm: greenhouse,40.0,16.0,0.08,82.9,54.7,60.5
2026-08-24,3,Farm: outdoor,40.0,10.0,0.08,82.9,54.7,60.5
2026-08-25,0,East landscaping,30.0,15.0,0.0,88.4,49.9,51.8
2026-08-25,1,West landscaping,30.0,6.0,0.0,88.4,49.9,51.8
2026-08-25,2,Farm: greenhouse,40.0,16.0,0.0,88.4,49.9,51.8
2026-08-25,3,Farm: outdoor,40.0,10.0,0.0,88.4,49.9,51.8
2026-08-26,0,East landscaping,0.0,0.0,0.0,90.0,53.4,45.8
2026-08-26,1,West landscaping,0.0,0.0,0.0,90.0,53.4,45.8
2026-08-26,2,Farm: greenhouse,40.0,16.0,0.0,90.0,53.4,45.8
2026-08-26,3,Farm: outdoor,40.0,10.0,0.0,90.0,53.4,45.8
2026-08-27,0,East landscaping,30.0,15.0,0.0,89.7,55.8,43.0
2026-08-27,1,West landscaping,30.0,6.0,0.0,89.7,55.8,43.0
2026-08-27,2,Farm: greenhouse,40.0,16.0,0.0,89.7,55.8,43.0
2026-08-27,3,Farm: outdoor,40.0,15.3,0.0,89.7,55.8,43.0
2026-08-28,0,East landscaping,0.0,0.0,0.05,88.1,57.1,54.2
2026-08-28,1,West landscaping,0.0,0.0,0.05,88.1,57.1,54.2
2026-08-28,2,Farm: greenhouse,40.0,16.0,0.05,88.1,57.1,54.2
2026-08-28,3,Farm: outdoor,40.0,15.3,0.05,88.1,57.1,54.2
2026-08-29,0,East landscaping,30.0,15.0,0.02,82.2,56.9,67.5
2026-08-29,1,West landscaping,0.0,0.0,0.02,82.2,56.9,67.5
2026-08-29,2,Farm: greenhouse,40.0,16.0,0.02,82.2,56.9,67.5
2026-08-29,3,Farm: outdoor,40.0,15.3,0.02,82.2,56.9,67.5
2026-08-30,0,East landscaping,0.0,0.0,0.0,78.3,54.8,66.8
2026-08-30,1,West landscaping,0.0,0.0,0.0,78.3,54.8,66.8
2026-08-30,2,Farm: greenhouse,40.0,16.0,0.0,78.3,54.8,66.8
2026-08-30,3,Farm: outdoor,40.0,15.3,0.0,78.3,54.8,66.8
