Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-08-10,3,Farm: outdoor,Nectarine,40.0,1.3,0.47,84.7,59.1,63.8
2026-08-10,3,Farm: outdoor,Apple,40.0,1.3,0.47,84.7,59.1,63.8
2026-08-10,3,Farm: outdoor,Beans,40.0,4.3,0.47,84.7,59.1,63.8
2026-08-10,3,Farm: outdoor,Corn,40.0,1.5,0.47,84.7,59.1,63.8
2026-08-10,3,Farm: outdoor,Pumpkin,40.0,1.5,0.47,84.7,59.1,63.8
2026-08-11,3,Farm: outdoor,Nectarine,40.0,1.3,0.96,84.7,55.3,74.8
2026-08-11,3,Farm: outdoor,Apple,40.0,1.3,0.96,84.7,55.3,74.8
2026-08-11,3,Farm: outdoor,Beans,40.0,4.3,0.96,84.7,55.3,74.8
2026-08-11,3,Farm: outdoor,Corn,40.0,1.5,0.96,84.7,55.3,74.8
2026-08-11,3,Farm: outdoor,Pumpkin,40.0,1.5,0.96,84.7,55.3,74.8
2026-08-12,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,77.4,54.9,72.9
2026-08-12,3,Farm: outdoor,Apple,40.0,1.3,0.0,77.4,54.9,72.9
2026-08-12,3,Farm: outdoor,Beans,40.0,4.3,0.0,77.4,54.9,72.9
2026-08-12,3,Farm: outdoor,Corn,40.0,1.5,0.0,77.4,54.9,72.9
2026-08-12,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,77.4,54.9,72.9
2026-08-13,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,73.4,55.5,69.3
2026-08-13,3,Farm: outdoor,Apple,40.0,1.3,0.0,73.4,55.5,69.3
2026-08-13,3,Farm: outdoor,Beans,40.0,4.3,0.0,73.4,55.5,69.3
2026-08-13,3,Farm: outdoor,Corn,40.0,1.5,0.0,73.4,55.5,69.3
2026-08-13,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,73.4,55.5,69.3
2026-08-14,3,Farm: outdoor,Nectarine,40.0,1.3,0.06,73.6,51.9,73.6
2026-08-14,3,Farm: outdoor,Apple,40.0,1.3,0.06,73.6,51.9,73.6
2026-08-14,3,Farm: outdoor,Beans,40.0,4.3,0.06,73.6,51.9,73.6
2026-08-14,3,Farm: outdoor,Corn,40.0,1.5,0.06,73.6,51.9,73.6
2026-08-14,3,Farm: outdoor,Pumpkin,40.0,1.5,0.06,73.6,51.9,73.6
2026-08-15,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,79.9,47.4,63.6
2026-08-15,3,Farm: outdoor,Apple,40.0,1.3,0.0,79.9,47.4,63.6
2026-08-15,3,Farm: outdoor,Beans,40.0,4.3,0.0,79.9,47.4,63.6
2026-08-15,3,Farm: outdoor,Corn,40.0,1.5,0.0,79.9,47.4,63.6
2026-08-15,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,79.9,47.4,63.6
2026-08-16,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,85.2,51.0,53.3
2026-08-16,3,Farm: outdoor,Apple,40.0,1.3,0.0,85.2,51.0,53.3
2026-08-16,3,Farm: outdoor,Beans,40.0,4.3,0.0,85.2,51.0,53.3
2026-08-16,3,Farm: outdoor,Corn,40.0,1.5,0.0,85.2,51.0,53.3
2026-08-16,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,85.2,51.0,53.3
